time,open,high,low,close,tick_volume,spread,real_volume
2024-11-01 10:30:00,2754.06,2755.0,2751.8,2754.65,9289,26,0
2024-11-01 10:45:00,2754.65,2754.66,2751.33,2753.33,8339,26,0
2024-11-01 11:00:00,2753.35,2755.11,2752.28,2755.03,7508,26,0
2024-11-01 11:15:00,2755.03,2755.38,2752.13,2753.08,5662,26,0
2024-11-01 11:30:00,2753.07,2753.14,2747.95,2751.03,8547,26,0
2024-11-01 11:45:00,2751.04,2752.54,2749.9,2751.26,5987,26,0
2024-11-01 12:00:00,2751.26,2751.77,2750.25,2750.33,6201,26,0
2024-11-01 12:15:00,2750.33,2750.64,2747.2,2747.29,5909,26,0
2024-11-01 12:30:00,2747.29,2748.21,2744.76,2746.97,6883,26,0
2024-11-01 12:45:00,2746.97,2750.1,2746.6,2749.53,7022,26,0
2024-11-01 13:00:00,2749.54,2753.01,2749.54,2751.5,7836,26,0
2024-11-01 13:15:00,2751.49,2754.03,2751.31,2752.22,6368,26,0
2024-11-01 13:30:00,2752.22,2753.33,2751.55,2752.86,6167,26,0
2024-11-01 13:45:00,2752.85,2753.79,2752.02,2752.87,6267,26,0
2024-11-01 14:00:00,2752.87,2754.1,2751.59,2753.73,8896,26,0
2024-11-01 14:15:00,2753.74,2754.59,2750.05,2750.1,12086,26,0
